"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on the best buy application","Check if the product api can be accessed by GET request","SUCCESS","2023-01-10T18:37:31.717Z[Europe/London]","0.0","0.34"
"Testing different request on the best buy application","Check if the product api can be accessed by POST request","SUCCESS","2023-01-10T18:37:32.125Z[Europe/London]","0.0","0.05"
"Testing different request on the best buy application","Check if the product api can be accessed by PUT request","SUCCESS","2023-01-10T18:37:32.301Z[Europe/London]","0.0","0.06"
"Testing different request on the best buy application","Check if the product api can be accessed by DELETE request","SUCCESS","2023-01-10T18:37:32.467Z[Europe/London]","0.0","0.04"
"Testing different request on the best buy application","Check if  store api can be accessed by GET request","SUCCESS","2023-01-10T18:37:32.656Z[Europe/London]","0.0","0.09"
"Testing different request on the best buy application","Check if  store api can be accessed by POST request","SUCCESS","2023-01-10T18:37:32.857Z[Europe/London]","0.0","0.05"
"Testing different request on the best buy application","Check if the store api can be accessed by PUT request","SUCCESS","2023-01-10T18:37:32.992Z[Europe/London]","0.0","0.09"
"Testing different request on the best buy application","Check if the store api can be accessed by DELETE request","SUCCESS","2023-01-10T18:37:33.222Z[Europe/London]","0.0","0.05"
